user_id,months_active,plan_stream_tv,plan_stream_movies,contract_type,paperless_billing,monthly_fee,total_paid,net_service
7590-VHVEG,1,False,False,Month-to-month,True,29.85,29.85,DSL
5575-GNVDE,34,False,False,One year,False,56.95,1889.5,DSL
3668-QPYBK,2,False,False,Month-to-month,True,53.85,108.15,DSL
7795-CFOCW,45,False,False,One year,False,42.3,1840.75,DSL
9237-HQITU,2,False,False,Month-to-month,True,70.7,151.65,Fiber optic
9305-CDSKC,8,True,True,Month-to-month,True,99.65,820.5,Fiber optic
1452-KIOVK,22,True,False,Month-to-month,True,89.1,1949.4,Fiber optic
6713-OKOMC,10,False,False,Month-to-month,False,29.75,301.9,DSL
7892-POOKP,28,True,True,Month-to-month,True,104.8,3046.05,Fiber optic
6388-TABGU,62,False,False,One year,False,56.15,3487.95,DSL
9763-GRSKD,13,False,False,Month-to-month,True,49.95,587.45,DSL
7469-LKBCI,16,,,Two year,False,18.95,326.8,No
8091-TTVAX,58,True,True,One year,False,100.35,5681.1,Fiber optic
0280-XJGEX,49,True,True,Month-to-month,True,103.7,5036.3,Fiber optic
5129-JLPIS,25,True,True,Month-to-month,True,105.5,2686.05,Fiber optic
3655-SNQYZ,69,True,True,Two year,False,113.25,7895.15,Fiber optic
8191-XWSZG,52,,,One year,False,20.65,1022.95,No
9959-WOFKT,71,True,True,Two year,False,106.7,7382.25,Fiber optic
4190-MFLUW,10,False,False,Month-to-month,False,55.2,528.35,DSL
4183-MYFRB,21,False,True,Month-to-month,True,90.05,1862.9,Fiber optic
8779-QRDMV,1,False,True,Month-to-month,True,39.65,39.65,DSL
1680-VDCWW,12,,,One year,False,19.8,202.25,No
1066-JKSGK,1,,,Month-to-month,False,20.15,20.15,No
3638-WEABW,58,False,False,Two year,True,59.9,3505.1,DSL
6322-HRPFA,49,False,False,Month-to-month,False,59.6,2970.3,DSL
6865-JZNKO,30,False,False,Month-to-month,True,55.3,1530.6,DSL
6467-CHFZW,47,True,True,Month-to-month,True,99.35,4749.15,Fiber optic
8665-UTDHZ,1,False,False,Month-to-month,False,30.2,30.2,DSL
5248-YGIJN,72,True,True,Two year,True,90.25,6369.45,DSL
8773-HHUOZ,17,True,True,Month-to-month,True,64.7,1093.1,DSL
3841-NFECX,71,False,False,Two year,True,96.35,6766.95,Fiber optic
4929-XIHVW,2,True,True,Month-to-month,True,95.5,181.65,Fiber optic
6827-IEAUQ,27,False,False,One year,False,66.15,1874.45,DSL
7310-EGVHZ,1,,,Month-to-month,False,20.2,20.2,No
3413-BMNZE,1,False,False,Month-to-month,False,45.25,45.25,DSL
6234-RAAPL,72,True,False,Two year,False,99.9,7251.7,Fiber optic
6047-YHPVI,5,False,False,Month-to-month,True,69.7,316.9,Fiber optic
6572-ADKRS,46,False,False,Month-to-month,True,74.8,3548.3,Fiber optic
5380-WJKOV,34,True,True,Month-to-month,True,106.35,3549.25,Fiber optic
8168-UQWWF,11,True,True,Month-to-month,True,97.85,1105.4,Fiber optic
8865-TNMNX,10,False,False,One year,False,49.55,475.7,DSL
9489-DEDVP,70,True,False,Two year,True,69.2,4872.35,DSL
9867-JCZSP,17,,,One year,False,20.75,418.25,No
4671-VJLCL,63,True,False,Two year,True,79.85,4861.45,DSL
4080-IIARD,13,True,False,Month-to-month,True,76.2,981.45,DSL
3714-NTNFO,49,False,True,Month-to-month,True,84.5,3906.7,Fiber optic
5948-UJZLF,2,False,False,Month-to-month,False,49.25,97.0,DSL
7760-OYPDY,2,True,False,Month-to-month,True,80.65,144.15,Fiber optic
7639-LIAYI,52,True,True,Two year,True,79.75,4217.8,DSL
2954-PIBKO,69,False,False,Two year,True,64.15,4254.1,DSL
8012-SOUDQ,43,True,False,Month-to-month,True,90.25,3838.75,Fiber optic
