user_id,failed_payments_90d
7590-VHVEG,1
5575-GNVDE,0
3668-QPYBK,1
7795-CFOCW,1
9237-HQITU,0
9305-CDSKC,0
1452-KIOVK,0
6713-OKOMC,0
7892-POOKP,3
6388-TABGU,0
9763-GRSKD,0
7469-LKBCI,0
8091-TTVAX,0
0280-XJGEX,0
5129-JLPIS,0
3655-SNQYZ,1
8191-XWSZG,0
9959-WOFKT,0
4190-MFLUW,0
4183-MYFRB,0
8779-QRDMV,1
1680-VDCWW,0
1066-JKSGK,0
3638-WEABW,0
6322-HRPFA,2
6865-JZNKO,0
6467-CHFZW,0
8665-UTDHZ,0
5248-YGIJN,0
8773-HHUOZ,1
3841-NFECX,1
4929-XIHVW,0
6827-IEAUQ,0
7310-EGVHZ,0
3413-BMNZE,0
6234-RAAPL,1
6047-YHPVI,1
6572-ADKRS,0
5380-WJKOV,0
8168-UQWWF,0
8865-TNMNX,0
9489-DEDVP,0
9867-JCZSP,0
4671-VJLCL,0
4080-IIARD,0
3714-NTNFO,0
5948-UJZLF,1
7760-OYPDY,0
7639-LIAYI,1
2954-PIBKO,0
8012-SOUDQ,0
9420-LOJKX,0
6575-SUVOI,0
7495-OOKFY,0
4667-QONEA,0
1658-BYGOY,0
8769-KKTPH,0
5067-XJQFU,0
3957-SQXML,0
5954-BDFSG,1
0434-CSFON,0
1215-FIGMP,0
0526-SXDJP,0
0557-ASKVU,0
5698-BQJOH,0
5122-CYFXA,0
8627-ZYGSZ,0
3410-YOQBQ,1
3170-NMYVV,0
7410-OIEDU,0
2273-QCKXA,0
0731-EBJQB,1
1891-QRQSA,0
8028-PNXHQ,1
5630-AHZIL,0
2673-CXQEU,0
6416-JNVRK,0
5590-ZSKRV,1
0191-ZHSKZ,1
3887-PBQAO,0
5919-TMRGD,0
8108-UXRQN,0
9191-MYQKX,1
9919-YLNNG,0
0318-ZOPWS,0
4445-ZJNMU,1
4808-YNLEU,0
1862-QRWPE,1
2796-NNUFI,0
3016-KSVCP,1
4767-HZZHQ,0
2424-WVHPL,1
7233-PAHHL,0
6067-NGCEU,0
9848-JQJTX,0
8637-XJIVR,0
9803-FTJCG,0
0278-YXOOG,1
3212-KXOCR,0
4598-XLKNJ,1
6380-ARCEH,1
3679-XASPY,1
7123-WQUHX,1
5386-THSLQ,0
3192-NQECA,1
6180-YBIQI,0
6728-DKUCO,0
9750-BOOHV,0
8597-CWYHH,0
2848-YXSMW,0
0486-HECZI,0
4549-ZDQYY,0
5712-AHQNN,0
4846-WHAFZ,1
5256-SKJGO,0
3071-VBYPO,0
9560-BBZXK,0
5299-RULOA,0
8402-OOOHJ,1
9445-ZUEQE,0
1091-SOZGA,0
2928-HLDBA,0
0404-SWRVG,0
6497-TILVL,1
7219-TLZHO,0
4622-YNKIJ,1
4412-YLTKF,0
6734-PSBAW,0
3930-ZGWVE,0
2639-UGMAZ,0
2876-GZYZC,1
6207-WIOLX,0
8587-XYZSF,0
3091-FYHKI,1
2372-HWUHI,0
7799-LGRDP,0
7850-VWJUU,0
3774-VBNXY,0
6217-KDYWC,0
0390-DCFDQ,0
3146-MSEGF,0
4080-OGPJL,0
1095-WGNGG,0
2636-SJDOU,1
1131-QQZEB,0
5716-EZXZN,1
6837-BJYDQ,0
2135-RXIHG,0
6440-DKQGE,0
3466-BYAVD,0
3780-YVMFA,0
3874-EQOEP,0
1679-JRFBR,0
9073-ZZIAY,0
3077-RSNTJ,0
6551-GNYDG,1
9167-APMXZ,0
2749-CTKAJ,0
6371-NZYEG,0
7554-NEWDD,0
8992-VONJD,1
0867-MKZVY,0
4482-EWFMI,0
4648-YPBTM,0
2907-ILJBN,0
6345-FZOQH,1
3376-BMGFE,0
5997-OPVFA,0
3445-HXXGF,0
1159-WFSGR,0
7654-YWJUF,1
1875-QIVME,0
6727-IOTLZ,1
0691-JVSYA,0
5918-VUKWP,0
1744-JHKYS,0
2656-FMOKZ,0
2070-FNEXE,1
5947-SGKCL,0
3712-PKXZA,1
6317-YPKDH,0
6582-OIVSP,1
9367-WXLCH,1
5524-KHNJP,0
1918-ZBFQJ,0
1024-GUALD,0
4827-USJHP,0
8167-GJLRN,0
0956-SYCWG,0
8017-UVSZU,1
7100-FQPRV,0
2472-OVKUP,0
2984-RGEYA,0
9680-NIAUV,0
2146-EGVDT,0
2604-IJPDU,0
9178-JHUVJ,0
6168-YBYNP,0
7255-SSFBC,0
3645-DEYGF,1
9323-HGFWY,1
8544-GOQSH,0
3363-DTIVD,1
7018-WBJNK,0
9142-KZXOP,0
7674-YTAFD,0
6348-SNFUS,0
1285-OKIPP,1
7825-ECJRF,1
1347-KTTTA,0
7841-TZDMQ,1
4195-NZGTA,0
7157-SMCFK,0
4709-LKHYG,0
2504-DSHIH,0
0699-NDKJM,0
9286-BHDQG,0
0230-WEQUW,1
2040-LDIWQ,0
6496-JDSSB,1
9408-SSNVZ,0
4443-EMBNA,0
6469-MRVET,1
0742-MOABM,0
5961-VUSRV,0
6778-JFCMK,0
6341-JVQGF,0
2232-DMLXU,0
4811-JBUVU,0
0945-TSONX,0
2651-ZCBXV,0
3316-UWXUY,0
8937-RDTHP,0
7083-MIOPC,1
1984-GPTEH,0
1251-KRREG,0
0621-JFHOL,0
9903-LYSAB,0
0094-OIFMO,0
9227-UAQFT,0
7301-ABVAD,0
6614-FHDBO,1
7576-ASEJU,0
9058-HRZSV,0
4522-AKYLR,0
0221-WMXNQ,0
0303-UNCIP,1
9947-OTFQU,0
0322-YINQP,0
0959-WHOKV,0
4075-JFPGR,0
4629-NRXKX,1
9514-JDSKI,0
