user_id,support_tickets_90d,ticket_avg_resolution_hrs_90d
7590-VHVEG,0,16.0
5575-GNVDE,0,8.6
3668-QPYBK,0,13.0
7795-CFOCW,0,9.5
9237-HQITU,1,9.8
9305-CDSKC,1,6.3
1452-KIOVK,1,4.9
6713-OKOMC,0,15.0
7892-POOKP,0,10.8
6388-TABGU,0,3.0
9763-GRSKD,0,8.3
7469-LKBCI,2,9.0
8091-TTVAX,1,11.6
0280-XJGEX,0,2.3
5129-JLPIS,1,10.4
3655-SNQYZ,0,14.3
8191-XWSZG,0,14.9
9959-WOFKT,0,9.0
4190-MFLUW,0,8.3
4183-MYFRB,1,9.9
8779-QRDMV,0,12.0
1680-VDCWW,3,10.6
1066-JKSGK,0,4.3
3638-WEABW,0,9.6
6322-HRPFA,0,9.1
6865-JZNKO,0,13.1
6467-CHFZW,0,7.7
8665-UTDHZ,0,17.6
5248-YGIJN,0,8.9
8773-HHUOZ,0,12.6
3841-NFECX,0,13.7
4929-XIHVW,0,9.6
6827-IEAUQ,0,13.3
7310-EGVHZ,1,8.6
3413-BMNZE,0,5.8
6234-RAAPL,0,9.2
6047-YHPVI,2,1.9
6572-ADKRS,1,11.5
5380-WJKOV,0,4.7
8168-UQWWF,0,6.3
8865-TNMNX,1,8.9
9489-DEDVP,0,12.2
9867-JCZSP,0,9.7
4671-VJLCL,2,13.1
4080-IIARD,1,9.4
3714-NTNFO,0,8.6
5948-UJZLF,0,1.0
7760-OYPDY,0,11.9
7639-LIAYI,0,7.8
2954-PIBKO,1,8.7
8012-SOUDQ,1,11.9
9420-LOJKX,2,11.2
6575-SUVOI,2,10.2
7495-OOKFY,0,8.8
4667-QONEA,1,12.4
1658-BYGOY,0,5.2
8769-KKTPH,0,14.0
5067-XJQFU,0,10.5
3957-SQXML,0,6.2
5954-BDFSG,0,7.9
0434-CSFON,1,7.4
1215-FIGMP,0,3.9
0526-SXDJP,0,10.6
0557-ASKVU,0,7.4
5698-BQJOH,0,7.9
5122-CYFXA,2,12.7
8627-ZYGSZ,2,10.1
3410-YOQBQ,0,8.6
3170-NMYVV,0,10.1
7410-OIEDU,0,13.3
2273-QCKXA,0,15.7
0731-EBJQB,0,8.5
1891-QRQSA,0,11.9
8028-PNXHQ,0,4.5
5630-AHZIL,0,6.4
2673-CXQEU,2,9.2
6416-JNVRK,0,1.9
5590-ZSKRV,1,3.9
0191-ZHSKZ,1,11.0
3887-PBQAO,2,10.9
5919-TMRGD,0,10.9
8108-UXRQN,0,11.8
9191-MYQKX,1,6.4
9919-YLNNG,0,14.4
0318-ZOPWS,0,9.4
4445-ZJNMU,0,6.3
4808-YNLEU,0,5.5
1862-QRWPE,0,7.2
2796-NNUFI,0,12.8
3016-KSVCP,0,9.4
4767-HZZHQ,0,9.5
2424-WVHPL,0,3.5
7233-PAHHL,0,10.7
6067-NGCEU,1,6.8
9848-JQJTX,0,14.2
8637-XJIVR,0,8.5
