user_id,watch_hours_30d,avg_session_mins_7d,unique_devices_30d,skips_7d,rebuffer_events_7d
7590-VHVEG,24.21779534835315,29.14104464084511,3,4,1
5575-GNVDE,28.49838715159756,29.14104464084511,1,6,4
3668-QPYBK,26.77393925002695,29.14104464084511,2,3,5
7795-CFOCW,22.07192642465299,29.14104464084511,1,5,1
9237-HQITU,26.106731999364474,29.14104464084511,3,7,2
9305-CDSKC,28.217939604330255,29.14104464084511,3,3,0
1452-KIOVK,33.12151882163833,29.14104464084511,2,7,4
6713-OKOMC,30.244647199228183,29.14104464084511,1,3,5
7892-POOKP,32.57702438460331,29.14104464084511,3,4,4
6388-TABGU,24.165747611763972,29.14104464084511,3,4,9
9763-GRSKD,30.132796426665287,29.14104464084511,2,6,3
7469-LKBCI,24.709035284056313,29.14104464084511,2,7,1
8091-TTVAX,34.93846013733676,29.14104464084511,2,9,0
0280-XJGEX,31.329649126077936,29.14104464084511,1,4,2
5129-JLPIS,35.465570410473426,29.14104464084511,2,11,2
3655-SNQYZ,38.6116229345563,29.14104464084511,1,5,0
8191-XWSZG,16.230063330120494,29.14104464084511,3,3,2
9959-WOFKT,32.07266569828647,29.14104464084511,2,4,3
4190-MFLUW,18.89316635731041,29.14104464084511,2,4,2
4183-MYFRB,26.478085503143948,29.14104464084511,2,5,2
8779-QRDMV,16.311216953294334,29.14104464084511,2,7,3
1680-VDCWW,20.913436983201724,29.14104464084511,1,3,3
1066-JKSGK,16.96351512229626,29.14104464084511,1,6,0
3638-WEABW,29.593836495962538,29.14104464084511,1,5,4
6322-HRPFA,28.747334981523373,29.14104464084511,2,4,4
6865-JZNKO,26.52410350556559,29.14104464084511,3,4,6
6467-CHFZW,22.228740910657702,29.14104464084511,2,4,1
8665-UTDHZ,21.63920577912167,29.14104464084511,3,7,3
5248-YGIJN,33.04135327809772,29.14104464084511,2,2,4
8773-HHUOZ,30.057362551896638,29.14104464084511,2,7,4
3841-NFECX,27.98778642941316,29.14104464084511,2,7,5
4929-XIHVW,30.908128000137754,29.14104464084511,3,3,4
6827-IEAUQ,24.144664918152017,29.14104464084511,1,3,3
7310-EGVHZ,18.142593401923488,29.14104464084511,1,5,3
3413-BMNZE,32.0431934762757,29.14104464084511,3,6,3
6234-RAAPL,31.37654031961976,29.14104464084511,1,7,2
6047-YHPVI,29.582991415920144,29.14104464084511,2,8,1
6572-ADKRS,34.03076591256815,29.14104464084511,3,7,5
5380-WJKOV,31.556718191483565,29.14104464084511,3,5,5
8168-UQWWF,34.10253751661354,29.14104464084511,2,3,2
8865-TNMNX,28.049119343754395,29.14104464084511,1,6,2
9489-DEDVP,30.585157995422165,29.14104464084511,2,3,5
9867-JCZSP,16.308321638929733,29.14104464084511,1,8,1
4671-VJLCL,31.93640681259176,29.14104464084511,3,3,4
4080-IIARD,37.59344112753912,29.14104464084511,3,8,2
3714-NTNFO,24.604109139324546,29.14104464084511,3,1,4
5948-UJZLF,31.879046461829386,29.14104464084511,1,5,3
7760-OYPDY,32.259693524048224,29.14104464084511,3,6,2
7639-LIAYI,28.76571286903491,29.14104464084511,3,1,2
2954-PIBKO,38.91242484997471,29.14104464084511,3,5,4
8012-SOUDQ,36.92577045466258,29.14104464084511,2,2,1
9420-LOJKX,28.837915755008545,29.14104464084511,2,5,1
6575-SUVOI,28.835323282942703,29.14104464084511,2,4,1
7495-OOKFY,33.94585689487218,29.14104464084511,3,6,1
4667-QONEA,29.25058041633112,29.14104464084511,1,8,3
1658-BYGOY,36.25422515623644,29.14104464084511,1,5,2
8769-KKTPH,33.63689437530725,29.14104464084511,2,6,0
5067-XJQFU,40.58782095977075,29.14104464084511,1,5,3
3957-SQXML,29.512873198112203,29.14104464084511,1,3,1
5954-BDFSG,33.04299226696131,29.14104464084511,1,4,1
0434-CSFON,33.54680109969545,29.14104464084511,3,1,1
1215-FIGMP,30.23195733383881,29.14104464084511,3,5,2
0526-SXDJP,26.54390762085643,29.14104464084511,2,4,5
0557-ASKVU,22.17039344748264,29.14104464084511,3,8,2
5698-BQJOH,31.305284972136246,29.14104464084511,2,6,4
5122-CYFXA,30.429226055138148,29.14104464084511,3,7,5
8627-ZYGSZ,35.22217986860625,29.14104464084511,1,5,2
3410-YOQBQ,36.33237026479905,29.14104464084511,1,3,5
3170-NMYVV,16.499013069995684,29.14104464084511,1,3,1
7410-OIEDU,27.283482163398524,29.14104464084511,2,6,1
2273-QCKXA,28.80940223558364,29.14104464084511,3,10,2
0731-EBJQB,12.390632542847248,29.14104464084511,2,5,1
1891-QRQSA,32.78612674077305,29.14104464084511,2,3,3
8028-PNXHQ,23.03333809079076,29.14104464084511,3,4,4
5630-AHZIL,35.39452259275101,29.14104464084511,1,6,5
2673-CXQEU,40.05061766200476,29.14104464084511,2,2,2
6416-JNVRK,25.8348283291065,29.14104464084511,2,6,5
5590-ZSKRV,25.952875720825926,29.14104464084511,1,5,1
0191-ZHSKZ,29.924601766736508,29.14104464084511,2,5,2
3887-PBQAO,30.580237016969672,29.14104464084511,1,4,1
5919-TMRGD,29.574969262654577,29.14104464084511,3,5,0
8108-UXRQN,25.025241017956468,29.14104464084511,1,6,2
9191-MYQKX,32.014927064626406,29.14104464084511,1,3,2
9919-YLNNG,33.866387710695435,29.14104464084511,2,6,1
0318-ZOPWS,20.80480878093837,29.14104464084511,1,4,1
4445-ZJNMU,29.16658013400091,29.14104464084511,2,2,2
4808-YNLEU,28.267484533602257,29.14104464084511,3,8,3
1862-QRWPE,20.469828171174946,29.14104464084511,2,3,1
2796-NNUFI,28.662374934818043,29.14104464084511,3,7,4
3016-KSVCP,28.14086294778763,29.14104464084511,2,4,2
4767-HZZHQ,32.18554445840944,29.14104464084511,2,8,4
2424-WVHPL,33.75389595334948,29.14104464084511,3,7,1
7233-PAHHL,29.89023337855969,29.14104464084511,2,6,2
6067-NGCEU,40.979520002161806,29.14104464084511,3,4,3
9848-JQJTX,32.62867392229299,29.14104464084511,3,8,2
8637-XJIVR,32.555200186251156,29.14104464084511,2,5,1
9803-FTJCG,22.166171818892796,29.14104464084511,1,5,1
0278-YXOOG,23.648411100358356,29.14104464084511,2,6,1
3212-KXOCR,14.591207951027641,29.14104464084511,1,4,2
4598-XLKNJ,23.43818930485162,29.14104464084511,1,6,0
6380-ARCEH,20.83346205368634,29.14104464084511,1,7,1
3679-XASPY,18.767374946139597,29.14104464084511,2,5,1
7123-WQUHX,33.99403055365465,29.14104464084511,1,6,2
5386-THSLQ,38.1371705084264,29.14104464084511,1,5,4
3192-NQECA,30.788721771526042,29.14104464084511,1,3,2
6180-YBIQI,19.98827651174839,29.14104464084511,1,7,4
6728-DKUCO,34.87199377434639,29.14104464084511,3,5,1
9750-BOOHV,26.17332479791029,29.14104464084511,2,10,1
8597-CWYHH,33.44378366909558,29.14104464084511,2,6,0
2848-YXSMW,20.30891020467931,29.14104464084511,1,5,2
0486-HECZI,37.75988483748988,29.14104464084511,2,4,5
4549-ZDQYY,30.889374367850785,29.14104464084511,3,6,6
5712-AHQNN,27.498129921417316,29.14104464084511,1,5,1
4846-WHAFZ,29.10924652493187,29.14104464084511,3,2,0
5256-SKJGO,27.86048726656825,29.14104464084511,2,4,5
3071-VBYPO,27.19294387480809,29.14104464084511,2,1,2
9560-BBZXK,25.61874676037474,29.14104464084511,3,5,5
5299-RULOA,30.152920369829456,29.14104464084511,3,2,3
8402-OOOHJ,28.742144897116653,29.14104464084511,2,7,0
9445-ZUEQE,32.826552424879715,29.14104464084511,1,5,3
1091-SOZGA,33.62073981611982,29.14104464084511,3,5,1
2928-HLDBA,19.855232429888904,29.14104464084511,1,4,2
0404-SWRVG,30.15735069798517,29.14104464084511,3,2,3
6497-TILVL,17.98225756422051,29.14104464084511,2,4,2
7219-TLZHO,17.55874678928186,29.14104464084511,1,2,1
4622-YNKIJ,34.82995726823138,29.14104464084511,3,2,1
4412-YLTKF,21.568091041803864,29.14104464084511,1,12,2
6734-PSBAW,26.22003221821037,29.14104464084511,1,4,3
3930-ZGWVE,13.674228618012274,29.14104464084511,1,6,1
2639-UGMAZ,30.70967329112047,29.14104464084511,2,4,1
2876-GZYZC,27.7564974251756,29.14104464084511,3,7,0
6207-WIOLX,30.68134855240105,29.14104464084511,3,3,4
8587-XYZSF,28.210558514403363,29.14104464084511,3,5,1
3091-FYHKI,17.16310303937184,29.14104464084511,1,5,1
2372-HWUHI,30.78867055336636,29.14104464084511,2,5,7
7799-LGRDP,29.49584074833822,29.14104464084511,3,5,1
7850-VWJUU,30.593380580194356,29.14104464084511,3,5,5
3774-VBNXY,21.771835436350926,29.14104464084511,3,3,4
6217-KDYWC,23.024120369978974,29.14104464084511,3,8,2
0390-DCFDQ,27.42376938347679,29.14104464084511,2,10,2
3146-MSEGF,38.40755986795158,29.14104464084511,2,2,3
4080-OGPJL,26.568913134147476,29.14104464084511,2,4,2
1095-WGNGG,31.971165513714716,29.14104464084511,1,4,3
2636-SJDOU,28.33527466392548,29.14104464084511,3,6,3
1131-QQZEB,19.553856510352396,29.14104464084511,3,4,2
5716-EZXZN,27.54475414874574,29.14104464084511,2,3,3
6837-BJYDQ,28.10417740461943,29.14104464084511,2,6,1
2135-RXIHG,25.44537851050123,29.14104464084511,2,5,4
6440-DKQGE,34.91795283473815,29.14104464084511,1,2,3
3466-BYAVD,30.025450496139253,29.14104464084511,2,5,6
3780-YVMFA,26.146680419245527,29.14104464084511,3,1,5
3874-EQOEP,30.950857917287575,29.14104464084511,1,3,0
1679-JRFBR,31.073813171404833,29.14104464084511,3,7,1
9073-ZZIAY,31.814914255259204,29.14104464084511,3,3,3
3077-RSNTJ,20.62308255314318,29.14104464084511,1,6,2
6551-GNYDG,31.647520339070013,29.14104464084511,1,1,1
9167-APMXZ,25.315591491442937,29.14104464084511,3,3,3
2749-CTKAJ,19.168320660575162,29.14104464084511,3,4,2
6371-NZYEG,36.581816241994005,29.14104464084511,2,6,4
7554-NEWDD,19.36015827624167,29.14104464084511,3,5,4
8992-VONJD,21.997259496732966,29.14104464084511,3,4,1
0867-MKZVY,32.62495388887069,29.14104464084511,3,7,0
4482-EWFMI,39.13551059117442,29.14104464084511,3,8,5
4648-YPBTM,22.751744199130368,29.14104464084511,3,6,3
2907-ILJBN,22.16103791722167,29.14104464084511,1,8,1
6345-FZOQH,18.891233664408112,29.14104464084511,2,3,1
3376-BMGFE,22.00338902066339,29.14104464084511,1,3,4
5997-OPVFA,36.71915754293431,29.14104464084511,1,3,4
3445-HXXGF,26.018862255966095,29.14104464084511,1,6,3
1159-WFSGR,22.920228698946502,29.14104464084511,2,8,2
7654-YWJUF,27.731195427022474,29.14104464084511,3,6,2
1875-QIVME,37.6828804257485,29.14104464084511,3,4,3
6727-IOTLZ,28.600122074096237,29.14104464084511,1,4,6
0691-JVSYA,31.610513089384735,29.14104464084511,1,2,0
5918-VUKWP,16.517875512804704,29.14104464084511,1,1,2
1744-JHKYS,17.36324967619986,29.14104464084511,3,4,2
2656-FMOKZ,38.881084894299555,29.14104464084511,2,7,1
2070-FNEXE,28.492203155775666,29.14104464084511,1,8,2
5947-SGKCL,36.383066615641376,29.14104464084511,1,7,1
3712-PKXZA,22.65175559723239,29.14104464084511,2,5,1
6317-YPKDH,22.714235475754975,29.14104464084511,2,5,5
6582-OIVSP,23.929726206828793,29.14104464084511,1,4,5
9367-WXLCH,34.66725556588371,29.14104464084511,1,4,5
5524-KHNJP,30.094906920241865,29.14104464084511,1,5,5
1918-ZBFQJ,30.908095386021373,29.14104464084511,3,8,1
1024-GUALD,24.452448627599235,29.14104464084511,3,3,3
4827-USJHP,33.164479904876615,29.14104464084511,3,5,3
8167-GJLRN,26.376125301003082,29.14104464084511,3,6,3
0956-SYCWG,23.34289760373758,29.14104464084511,1,4,4
8017-UVSZU,26.430185912983166,29.14104464084511,1,1,2
7100-FQPRV,24.632236931917248,29.14104464084511,1,6,3
2472-OVKUP,37.42290318974418,29.14104464084511,3,11,1
2984-RGEYA,26.91932324857749,29.14104464084511,3,3,4
9680-NIAUV,36.603891771490915,29.14104464084511,3,3,5
2146-EGVDT,24.241972972093222,29.14104464084511,1,6,3
2604-IJPDU,36.59147149899117,29.14104464084511,3,6,3
9178-JHUVJ,27.75147717021512,29.14104464084511,1,7,1
6168-YBYNP,39.9942017874559,29.14104464084511,3,5,1
7255-SSFBC,33.86291325073373,29.14104464084511,1,4,1
3645-DEYGF,29.923148658971723,29.14104464084511,1,5,1
9323-HGFWY,28.76521083965313,29.14104464084511,1,5,6
8544-GOQSH,37.123221287600444,29.14104464084511,3,7,5
3363-DTIVD,37.64020511625664,29.14104464084511,3,4,2
7018-WBJNK,36.08847235170926,29.14104464084511,2,5,3
9142-KZXOP,36.48494931163117,29.14104464084511,1,3,4
7674-YTAFD,38.56882614366059,29.14104464084511,3,7,1
6348-SNFUS,21.568285134349118,29.14104464084511,1,5,4
1285-OKIPP,22.210023431077513,29.14104464084511,3,6,1
7825-ECJRF,38.217212319681686,29.14104464084511,2,5,2
1347-KTTTA,29.382946754650373,29.14104464084511,1,6,1
7841-TZDMQ,27.038642628258316,29.14104464084511,2,4,6
4195-NZGTA,26.31279637257073,29.14104464084511,3,10,4
7157-SMCFK,14.46219145369317,29.14104464084511,1,4,2
4709-LKHYG,12.020257071019577,29.14104464084511,3,5,3
2504-DSHIH,33.292827435523606,29.14104464084511,3,6,1
0699-NDKJM,29.32717589907425,29.14104464084511,1,7,2
9286-BHDQG,25.459917404214824,29.14104464084511,2,6,3
0230-WEQUW,29.25982495292594,29.14104464084511,1,6,1
2040-LDIWQ,27.629571096745817,29.14104464084511,1,5,2
6496-JDSSB,23.433768284744694,29.14104464084511,1,6,4
9408-SSNVZ,28.896055382201194,29.14104464084511,2,4,0
4443-EMBNA,18.61403813280407,29.14104464084511,3,6,1
6469-MRVET,14.594806801043134,29.14104464084511,1,7,2
0742-MOABM,28.45806992459232,29.14104464084511,1,4,4
5961-VUSRV,22.20493659517158,29.14104464084511,2,7,1
